year,gd,cd
1843,8.17,25.16
1844,7.65,19.05
1845,7.85,22.46
1846,8.55,
1847,8.09,
1848,7.98,
1849,7.98,
1850,7.90,
1851,8.18,
1852,8.10,
1853,8.04,
1854,8.21,
1855,8.11,
1856,8.00,
1857,7.76,
1858,8.10,
1859,8.25,
1860,7.96,
1861,7.85,23.98
1862,7.56,24.13
1863,8.11,22.87
1864,7.98,25.43
1865,8.18,25.60
1866,8.29,25.42
1867,8.44,25.62
1868,8.25,25.30
1869,8.43,25.65
1870,8.20,25.35
1871,8.12,24.97
1872,8.19,25.20
1873,8.35,25.57
1874,8.43,25.32
1875,7.86,24.53
1876,8.08,25.13
1877,8.54,25.81
1878,8.83,25.94
1879,8.17,25.57
1880,8.12,25.42
1881,8.27,26.06
1882,8.13,25.09
1883,7.98,25.36
1884,7.77,25.03
1885,7.92,25.33
1886,7.95,25.13
1887,7.91,25.08
1888,8.09,25.21
1889,8.32,25.88
1890,7.97,25.79
1891,8.02,25.88
1892,8.07,25.39
1893,8.06,25.42
1894,8.16,25.00
1895,8.15,24.96
1896,8.21,25.24
1897,8.29,25.27
1898,8.18,25.59
1899,8.40,25.57
1900,8.50,25.50
1901,8.54,25.79
1902,8.30,25.42
1903,8.22,25.03
1904,8.09,25.40
1905,8.23,25.12
1906,8.38,25.26
1907,7.95,24.98
1908,8.19,25.23
1909,8.18,25.95
1910,8.22,25.18
1911,8.18,24.85
1912,8.17,25.05
1913,8.30,24.75
1914,8.59,25.38
1915,8.59,25.88
1916,8.23,25.36
1917,8.02,25.27
1918,8.13,25.25
1919,8.38,26.01
1920,8.36,25.17
1921,8.57,25.17
1922,8.41,25.66
1923,8.42,25.51
1924,8.51,25.96
1925,8.53,25.51
1926,8.73,25.53
1927,8.52,25.82
1928,8.63,26.05
1929,8.24,25.92
1930,8.63,25.76
1931,8.72,25.90
1932,8.71,25.45
1933,8.34,25.21
1934,8.63,25.53
1935,8.52,25.90
1936,8.55,25.75
1937,8.70,25.61
1938,8.86,25.31
1939,8.76,25.72
1940,8.76,25.92
1941,8.77,26.00
1942,8.73,26.07
1943,8.76,25.21
1944,8.85,25.85
1945,8.58,25.69
1946,8.68,25.65
1947,8.80,26.13
1948,8.75,25.11
1949,8.59,25.11
1950,8.37,25.89
1951,8.63,25.96
1952,8.64,26.31
1953,8.87,26.15
1954,8.56,26.16
1955,8.63,25.65
1956,8.28,25.66
1957,8.73,25.51
1958,8.77,26.29
1959,8.73,25.26
1960,8.58,26.33
1961,8.80,25.87
1962,8.75,26.11
1963,8.86,26.10
1964,8.41,25.44
1965,8.53,25.76
1966,8.60,26.19
1967,8.70,25.33
1968,8.52,25.26
1969,8.60,26.09
1970,8.70,25.92
1971,8.60,24.96
1972,8.50,25.53
1973,8.95,25.98
1974,8.47,25.47
1975,8.74,25.34
1976,8.35,25.56
1977,8.85,26.11
1978,8.69,26.12
1979,8.73,26.55
1980,8.98,26.32
1981,9.17,26.19
1982,8.64,25.04
1983,9.03,25.40
1984,8.69,25.19
1985,8.66,25.36
1986,8.83,25.64
1987,8.99,26.35
1988,9.20,26.34
1989,8.92,25.47
1990,9.23,25.86
1991,9.18,25.94
1992,8.84,24.74
1993,8.87,25.90
1994,9.04,26.26
1995,9.35,26.33
1996,9.04,26.37
1997,9.20,25.88
1998,9.52,26.48
1999,9.29,26.75
2000,9.20,26.62
2001,9.41,26.60
2002,9.57,26.63
2003,9.53,26.87
2004,9.32,26.53
2005,9.70,26.47
2006,9.53,26.42
2007,9.73,26.58
2008,9.43,26.64
2009,9.51,26.90
2010,9.70,27.30
2011,9.52,26.57
2012,9.51,27.02
2013,9.61,27.57
